,number,value,datetime_start,datetime_complete,params_activation_1,params_activation_10,params_activation_2,params_activation_3,params_activation_4,params_activation_5,params_activation_6,params_activation_7,params_activation_8,params_activation_9,params_dropout_10,params_dropout_2,params_dropout_3,params_dropout_4,params_dropout_5,params_dropout_6,params_dropout_7,params_dropout_8,params_dropout_9,params_layer_1,params_learning_rate,params_num_layers,params_units_10,params_units_2,params_units_3,params_units_4,params_units_5,params_units_6,params_units_7,params_units_8,params_units_9,state
57,57,0.9173544049263,2020-06-18 20:07:52.394410,2020-06-18 20:12:18.579934,linear,linear,linear,linear,elu,linear,relu,linear,relu,relu,0.3618158964593081,0.4626034023104618,0.20289205268671232,0.138326917066215,0.1601506596132487,0.33028101780112096,0.11229609323415225,0.26583528605593165,0.3680397961187376,512,2.4439279580099256e-05,10,512.0,512,128.0,512.0,256.0,128.0,128.0,128.0,512.0,COMPLETE
58,58,0.8919079303741455,2020-06-18 20:12:18.611823,2020-06-18 20:16:44.768586,linear,selu,elu,linear,elu,linear,relu,linear,relu,relu,0.18260829859040711,0.4819146434303731,0.2564140191618611,0.0392502130873781,0.12459095580914568,0.190099880108543,0.17405799852873813,0.18757759865281054,0.4244408635950031,512,0.00018851528110009973,10,512.0,512,128.0,512.0,256.0,128.0,128.0,128.0,512.0,COMPLETE
59,59,0.9331780672073364,2020-06-18 20:16:44.790224,2020-06-18 20:21:11.944303,linear,selu,relu,linear,elu,linear,relu,selu,selu,relu,0.3750027624228364,0.3984730515989858,0.11642345247311749,0.011249668594918178,0.06441624723018627,0.37382351664308144,0.1349520273002915,0.24060284328710677,0.2921468661105564,512,1.5250437627684392e-05,10,512.0,512,128.0,512.0,256.0,128.0,128.0,128.0,512.0,COMPLETE
60,60,0.8983358144760132,2020-06-18 20:21:11.966159,2020-06-18 20:25:28.730882,linear,,relu,linear,elu,linear,relu,linear,relu,relu,,0.00435614509857013,0.15074550525183822,0.06324768143431121,0.258953059409733,0.4378986302899098,0.09076067402312715,0.2754563644578693,0.3514232501717614,256,6.190280918387917e-05,9,,512,128.0,512.0,256.0,128.0,128.0,128.0,512.0,COMPLETE
61,61,0.9411488771438599,2020-06-18 20:25:28.753206,2020-06-18 20:29:48.916045,linear,,relu,linear,relu,linear,relu,linear,relu,relu,,0.44021948332180105,0.19940895519090868,0.498459482716084,0.19662323512873095,0.49533241022908636,0.051590220633822015,0.3248984245913408,0.4047869677426004,512,1.5067839597581863e-05,9,,512,128.0,512.0,256.0,128.0,128.0,128.0,512.0,COMPLETE
62,62,0.9344967603683472,2020-06-18 20:29:48.942797,2020-06-18 20:34:09.547589,linear,,relu,linear,relu,linear,relu,relu,linear,relu,,0.4996794348113112,0.1685061373802551,0.4099192287322252,0.20210603240227953,0.48804444213122516,0.05771036657279556,0.330558056868185,0.4388010956453213,512,2.9962637281584765e-05,9,,512,128.0,512.0,256.0,128.0,128.0,128.0,128.0,COMPLETE
63,63,0.9379296898841858,2020-06-18 20:34:09.570158,2020-06-18 20:37:30.226246,linear,,relu,,,,,,,,,0.4568877050461554,,,,,,,,512,1.6491178667138083e-05,2,,512,,,,,,,,COMPLETE
64,64,0.9379472732543945,2020-06-18 20:37:30.248313,2020-06-18 20:40:59.632797,linear,,relu,linear,,,,,,,,0.3997220101362395,0.20550492142798954,,,,,,,512,1.5329424497603503e-05,3,,512,128.0,,,,,,,COMPLETE
65,65,0.9370949268341064,2020-06-18 20:40:59.655133,2020-06-18 20:44:20.702138,linear,,relu,,,,,,,,,0.4039517571625686,,,,,,,,512,1.4931149969968356e-05,2,,512,,,,,,,,COMPLETE
66,66,0.9154351949691772,2020-06-18 20:44:20.724691,2020-06-18 20:47:41.981456,linear,,selu,,,,,,,,,0.36775383773215387,,,,,,,,512,4.310081338670102e-05,2,,512,,,,,,,,COMPLETE
67,67,0.9344431161880493,2020-06-18 20:47:42.003871,2020-06-18 20:51:11.972550,linear,,relu,linear,,,,,,,,0.38945221323747015,0.20362274825304932,,,,,,,512,1.809536857314019e-05,3,,512,128.0,,,,,,,COMPLETE
68,68,0.9386729598045349,2020-06-18 20:51:11.996381,2020-06-18 20:54:43.545176,linear,,relu,linear,relu,,,,,,,0.4307742770213424,0.17368409488988412,0.4531526953169349,,,,,,512,1.4040123118301742e-05,4,,512,128.0,512.0,,,,,,COMPLETE
69,69,0.936873197555542,2020-06-18 20:54:43.569759,2020-06-18 20:58:23.917576,linear,,relu,linear,relu,,,,,,,0.42821045529887825,0.2270323178120749,0.49291322943126137,,,,,,512,1.2862907710908008e-05,4,,512,128.0,512.0,,,,,,COMPLETE
70,70,0.9121044278144836,2020-06-18 20:58:23.941049,2020-06-18 21:01:53.190076,linear,,relu,linear,,,,,,,,0.4023862834500642,0.20010854433440298,,,,,,,512,7.15452827214256e-05,3,,512,128.0,,,,,,,COMPLETE
