A2A,A1,hERG
0.55490124,0.55386704,0.16054696
0.4722029,0.5586874,0.20868003
0.6182932,0.6714036,0.28001928
0.4846135,0.47997844,0.30427873
0.6099115,0.63638926,0.29072255
0.8425143,0.7201938,0.31077653
0.5233873,0.5212228,0.34142846
0.59488827,0.57243174,0.24283957
0.56601006,0.5928564,0.2634421
0.51952463,0.5981241,0.24337047
0.61543226,0.8115733,0.41407984
0.5030938,0.50639296,0.25802773
0.4753176,0.50596,0.3197512
0.61249673,0.67210317,0.24101824
0.6452881,0.6499338,0.3485623
0.57385427,0.60538524,0.2620386
0.7590858,0.69494003,0.36872447
0.47067994,0.5837861,0.21709049
0.5676139,0.49650872,0.14575016
0.4849527,0.53022176,0.32512993
0.6132442,0.6386661,0.24986345
0.6815531,0.6396376,0.36776775
0.5462646,0.53028095,0.33694905
0.7563115,0.62744164,0.30347925
0.6055875,0.64748317,0.3325861
0.6610257,0.6377112,0.37312573
0.5467902,0.60785335,0.44492793
0.52366453,0.4817013,0.36387742
0.7888345,0.6639205,0.36973798
0.53772724,0.48263264,0.18185079
0.7431886,0.67555976,0.2527197
0.68514776,0.69088095,0.32140803
0.6122327,0.6688925,0.28856194
0.47748712,0.49392283,0.28236806
0.75807065,0.83000433,0.34687352
0.6296171,0.7003223,0.265608
0.5478104,0.5792734,0.2045986
0.63071245,0.59978205,0.287762
0.7565621,0.78204006,0.3394174
0.7116142,0.73264813,0.34216285
0.55879045,0.6070527,0.2187379
0.5820234,0.5750529,0.34655225
0.6448638,0.6390292,0.3786456
0.60811555,0.6882587,0.34717816
0.53495663,0.55476916,0.3317541
0.5752568,0.5791695,0.23821843
0.61202574,0.5982649,0.41578525
0.5521148,0.5065326,0.29467875
0.49903727,0.500602,0.15725744
0.47209945,0.52383685,0.30394453
0.6869197,0.6788807,0.35262048
0.63684404,0.65096056,0.29236436
0.49434558,0.53776747,0.21947962
0.7433708,0.9345203,0.28926957
0.46098974,0.5052749,0.26301157
0.6365569,0.7491263,0.28750443
0.47140586,0.50286776,0.39116496
0.47515342,0.5192757,0.29293555
0.56781846,0.616935,0.35621393
0.5454604,0.5205286,0.29784536
0.55013955,0.59331816,0.24192208
0.69227284,0.6443054,0.27318752
0.6246528,0.90130633,0.23266816
0.571768,0.6069565,0.2776791
0.6184439,0.6840642,0.3580464
0.5644949,0.6884694,0.37858003
0.58842504,0.6001337,0.2592277
0.61228204,0.64046055,0.2485395
0.54089475,0.60344005,0.3580243
0.47005892,0.54422784,0.31740087
0.55213106,0.6126964,0.2745359
0.7319176,0.77989596,0.23424548
0.68951154,0.65679544,0.3251356
0.5653511,0.47329867,0.35173863
0.51016706,0.5478191,0.18622315
0.47157043,0.47810087,0.2618134
0.64731103,0.65745986,0.3220178
0.94507575,0.92033273,0.274275
0.4586858,0.4726157,0.31672066
0.46239185,0.48305815,0.35884368
0.80984944,0.6428075,0.29402643
0.729321,0.71475744,0.3884442
0.5371859,0.6239264,0.2493465
